iata,ville,pays,nom,ville_fr,pays_fr,mots,liaisons
IAN,Kiana,United States,Bob Baker Memorial,,États-Unis,USA US Etats Unis,8
CXI,Kiritimati,Kiribati,Cassidy,,,,8
KIT,Kithira,Greece,Kithira,,Grèce,,8
KCZ,Kochi,Japan,Kōchi Ryōma,,Japon,,8
KRF,Kramfors,Sweden,Kramfors Sollefteå,,Suède,,8
KMS,Kumasi,Ghana,Kumasi,,,,8
KWJ,Kwangju,South Korea,Gwangju,,Corée du Sud,,8
KZO,Kzyl-Orda,Kazakhstan,Kzyl-Orda Southwest,,,,8
LBU,Labuan,Malaysia,Labuan,,,,8
LBJ,Labuhan Bajo,Indonesia,Komodo,,Indonésie,,8
LAU,Lamu,Kenya,Manda Airstrip,,Kenya,,8
LRD,Laredo,United States,Laredo,,États-Unis,USA US Etats Unis,8
LGP,Legazpi,Philippines,Legazpi City,,Philippines,,8
LWS,Lewiston,United States,Lewiston Nez Perce County,,États-Unis,USA US Etats Unis,8
LBC,Luebeck,Germany,Lübeck Blankensee,,Allemagne,,8
LYC,Lycksele,Sweden,Lycksele,,Suède,,8
MEA,Macaé,Brazil,Macaé,,Brésil,,8
MAJ,Majuro,Marshall Islands,Marshall Islands,,,,8
MCX,Makhachkala,Russia,Uytash,,Russie,,8
YMN,Makkovik,Canada,Makkovik,,,,8
MLX,Malatya,Turkey,Malatya Erhaç,,Turquie,,8
MHK,Manhattan,United States,Manhattan Regional,,États-Unis,USA US Etats Unis,8
MHQ,Mariehamn,Finland,Mariehamn,,Finlande,,8
WMN,Maroantsetra,Madagascar,Maroantsetra,,,,8
MUN,Maturin,Venezuela,Maturín,,,,8
MZR,Mazar-i-sharif,Afghanistan,Mazar I Sharif,,,,8
MXL,Mexicali,Mexico,General Rodolfo Sánchez Taboada,,Mexique,,8
YHU,Montreal,Canada,Montréal / Saint-Hubert,Montréal,,,8
MQP,Mpumalanga,South Africa,Kruger Mpumalanga,,Afrique du Sud,,8
